Starting_word, Answer : WordleBot, Precompute Entropy

Results for Starting Word: crane
crane, fancy : 5, 3
crane, abuse : 5, 4
crane, alibi : 5, 5
crane, jetty : 5, 4
crane, tribe : 3, 3
crane, acute : 3, 2
crane, giddy : 4, 4
crane, trend : 2, 2
crane, heath : 5, 3
crane, oddly : 4, 4
crane, queer : 6, 4
crane, sworn : 4, 3
crane, panic : 3, 2
crane, grasp : 5, 4
crane, dopey : 4, 4
crane, sheen : 4, 4
crane, match : 6, 3
crane, staid : 5, 5
crane, ought : 3, 3
crane, vivid : 5, 4
crane, stale : 3, 2
crane, elbow : 4, 3
crane, shelf : 4, 4
crane, humus : 4, 4
crane, grind : 4, 2
crane, clued : 4, 3
crane, cello : 5, 3
crane, debut : 5, 4
crane, waltz : 3, 4
crane, hyper : 5, 5
